employee_id,company,department,role,privilege_level,years_with_company,security_training_completed,previous_training_score
EMP0001,NovaCore Financial Services,Human Resources,HR Specialist,High,5.7,1,85
EMP0002,NovaCore Financial Services,Sales,Sales Representative,Low,2.5,1,96
EMP0003,NovaCore Financial Services,Human Resources,HR Manager,Medium,1.1,1,96
EMP0004,NovaCore Financial Services,Marketing,Marketing Specialist,Low,0.5,1,87
EMP0005,NovaCore Financial Services,Human Resources,HR Specialist,Medium,12.5,1,72
EMP0006,NovaCore Financial Services,Finance,Finance Manager,Medium,4.7,1,72
EMP0007,NovaCore Financial Services,Marketing,Marketing Specialist,Medium,6.6,1,65
EMP0008,NovaCore Financial Services,Operations,Operations Analyst,Low,4.5,1,81
EMP0009,NovaCore Financial Services,Marketing,Digital Marketing Analyst,Medium,6.9,1,78
EMP0010,NovaCore Financial Services,Information Technology,IT Support Analyst,High,9.0,0,60
EMP0011,NovaCore Financial Services,Human Resources,HR Specialist,High,9.2,1,70
EMP0012,NovaCore Financial Services,Human Resources,Recruiter,High,10.3,1,74
EMP0013,NovaCore Financial Services,Operations,Operations Analyst,Medium,2.0,1,87
EMP0014,NovaCore Financial Services,Human Resources,Recruiter,Medium,4.8,1,63
EMP0015,NovaCore Financial Services,Operations,Operations Manager,Medium,8.3,1,86
EMP0016,NovaCore Financial Services,Sales,Sales Manager,Low,1.5,1,80
EMP0017,NovaCore Financial Services,Finance,Finance Manager,Medium,0.9,1,60
EMP0018,NovaCore Financial Services,Operations,Operations Analyst,Low,12.5,1,69
EMP0019,NovaCore Financial Services,Human Resources,Recruiter,High,4.4,1,81
EMP0020,NovaCore Financial Services,Executive,Chief Officer,Privileged,1.3,1,73
EMP0021,NovaCore Financial Services,Information Technology,System Administrator,High,11.6,1,90
EMP0022,NovaCore Financial Services,Sales,Sales Manager,Medium,11.6,0,89
EMP0023,NovaCore Financial Services,Human Resources,HR Manager,Medium,5.5,0,81
EMP0024,NovaCore Financial Services,Sales,Sales Representative,Medium,5.1,0,89
EMP0025,NovaCore Financial Services,Marketing,Digital Marketing Analyst,Low,4.8,1,87
EMP0026,NovaCore Financial Services,Legal,Legal Assistant,Medium,13.3,1,94
EMP0027,NovaCore Financial Services,Finance,Accountant,High,2.0,1,82
EMP0028,NovaCore Financial Services,Operations,Operations Analyst,Low,11.6,1,96
EMP0029,NovaCore Financial Services,Legal,Legal Assistant,High,7.9,1,79
EMP0030,NovaCore Financial Services,Marketing,Marketing Manager,Medium,4.9,1,74
EMP0031,NovaCore Financial Services,Information Technology,System Administrator,Medium,13.6,1,95
EMP0032,NovaCore Financial Services,Sales,Sales Manager,Medium,3.6,0,71
EMP0033,NovaCore Financial Services,Marketing,Marketing Manager,Medium,4.5,1,88
EMP0034,NovaCore Financial Services,Legal,Legal Assistant,Medium,12.1,1,81
EMP0035,NovaCore Financial Services,Executive,Director,High,13.4,1,69
EMP0036,NovaCore Financial Services,Human Resources,HR Specialist,Medium,3.6,1,74
EMP0037,NovaCore Financial Services,Marketing,Marketing Manager,Low,12.3,1,78
EMP0038,NovaCore Financial Services,Marketing,Digital Marketing Analyst,Medium,6.4,1,75
EMP0039,NovaCore Financial Services,Operations,Operations Manager,Low,2.0,1,76
EMP0040,NovaCore Financial Services,Human Resources,HR Manager,High,7.9,1,82
EMP0041,NovaCore Financial Services,Legal,Legal Assistant,High,5.6,1,54
EMP0042,NovaCore Financial Services,Marketing,Marketing Specialist,Medium,4.4,0,77
EMP0043,NovaCore Financial Services,Finance,Finance Manager,High,9.2,1,75
EMP0044,NovaCore Financial Services,Information Technology,Security Analyst,Medium,2.3,1,81
EMP0045,NovaCore Financial Services,Operations,Operations Manager,Low,14.8,1,91
EMP0046,NovaCore Financial Services,Information Technology,System Administrator,Medium,3.7,1,87
EMP0047,NovaCore Financial Services,Finance,Finance Manager,High,5.6,1,85
EMP0048,NovaCore Financial Services,Executive,Director,High,1.5,1,100
EMP0049,NovaCore Financial Services,Legal,Compliance Analyst,Medium,4.9,1,79
EMP0050,NovaCore Financial Services,Finance,Financial Analyst,Medium,10.2,0,71
EMP0051,NovaCore Financial Services,Human Resources,HR Manager,High,7.8,1,65
EMP0052,NovaCore Financial Services,Human Resources,HR Manager,Medium,10.4,1,83
EMP0053,NovaCore Financial Services,Information Technology,Security Analyst,High,14.1,0,68
EMP0054,NovaCore Financial Services,Information Technology,System Administrator,Privileged,13.9,1,74
EMP0055,NovaCore Financial Services,Marketing,Marketing Specialist,Low,4.0,1,80
EMP0056,NovaCore Financial Services,Operations,Operations Specialist,Medium,8.0,1,93
EMP0057,NovaCore Financial Services,Executive,Chief Officer,Privileged,1.6,1,81
EMP0058,NovaCore Financial Services,Human Resources,HR Specialist,Medium,5.2,1,87
EMP0059,NovaCore Financial Services,Human Resources,Recruiter,Medium,10.9,1,81
EMP0060,NovaCore Financial Services,Sales,Sales Manager,Low,9.7,0,82
EMP0061,NovaCore Financial Services,Finance,Financial Analyst,Medium,2.6,1,81
EMP0062,NovaCore Financial Services,Sales,Sales Representative,Low,0.3,1,69
EMP0063,NovaCore Financial Services,Legal,Legal Assistant,Medium,8.3,1,63
EMP0064,NovaCore Financial Services,Operations,Operations Manager,Medium,10.7,1,85
