feature,importance
numeric__average_historical_failure_probability,0.1746699811530183
numeric__previous_training_score,0.11246640380659088
numeric__training_risk,0.10334730758425627
numeric__historical_failures,0.04223752443060291
numeric__historical_failure_rate,0.03945981723804061
numeric__historical_reports,0.038537109716511836
numeric__historical_reporting_rate,0.03809136765150978
numeric__historical_click_rate,0.030543909177989385
categorical__role_Operations Specialist,0.02799255722133083
numeric__historical_clicks,0.027569467226813044
numeric__privilege_risk_value,0.025613950724275008
numeric__historical_credential_rate,0.02251844656622541
numeric__security_training_completed,0.0208977842356913
numeric__historical_credentials_submitted,0.020492454029774343
categorical__department_Finance,0.018574670539113814
numeric__historical_targeted_attacks,0.017486569054006317
categorical__privilege_level_High,0.015416719089376595
categorical__privilege_level_Medium,0.014748186012331585
categorical__department_Human Resources,0.012335956622530203
categorical__privilege_level_Low,0.012218076553456199
categorical__role_Financial Analyst,0.012122337719623535
categorical__role_HR Specialist,0.011544787826228
categorical__department_Legal,0.011420354229527524
numeric__historical_attachment_rate,0.010943861402696521
categorical__department_Information Technology,0.010207147295735783
numeric__historical_attachments_opened,0.009730984147505237
categorical__department_Operations,0.009481026431877973
categorical__department_Executive,0.009244627094759407
categorical__role_IT Support Analyst,0.008299164083908036
categorical__department_Marketing,0.00793911367175163
categorical__role_HR Manager,0.007283567208603849
categorical__role_Legal Assistant,0.0065279126696482425
categorical__role_Operations Manager,0.00640411013197773
categorical__role_Marketing Manager,0.006086610947008818
categorical__role_Operations Analyst,0.005848220808261181
categorical__role_Director,0.0055916452030763935
categorical__privilege_level_Privileged,0.005413399957443755
categorical__role_Recruiter,0.005286725078870698
categorical__department_Sales,0.005041463039204389
categorical__role_Sales Manager,0.0046779577475509785
categorical__role_Vice President,0.0039764209646651755
categorical__role_Compliance Analyst,0.003841468098754068
categorical__role_System Administrator,0.0023375943083007345
categorical__role_Security Analyst,0.002240452428112248
categorical__role_Marketing Specialist,0.00220985892213755
categorical__role_Chief Officer,0.0020741841438161822
categorical__role_Digital Marketing Analyst,0.002038457170258847
categorical__role_Accountant,0.00190709977754026
categorical__role_Account Executive,0.0018151497666644724
categorical__role_Sales Representative,0.0013849737737228742
categorical__role_Legal Manager,0.0011767805609852933
categorical__role_Finance Manager,0.0006842847563379589
numeric__historical_simulations,0.0
