feature,importance
numeric__average_historical_failure_probability,0.3341744061436927
numeric__previous_training_score,0.09815086443149734
numeric__training_risk,0.09134403142524303
categorical__role_IT Support Analyst,0.03743440007850262
numeric__historical_failures,0.03240910814154222
categorical__role_Financial Analyst,0.0319446713779983
numeric__historical_click_rate,0.02297472855498967
numeric__historical_failure_rate,0.02202254205675717
numeric__historical_clicks,0.021410797365921348
categorical__role_HR Specialist,0.020995203277365718
numeric__historical_attachment_rate,0.019088394593398714
categorical__privilege_level_Medium,0.018868784291186328
numeric__historical_reporting_rate,0.01861632545994916
numeric__historical_reports,0.017785250129759643
categorical__department_Legal,0.017488292689386783
numeric__historical_attachments_opened,0.017432936672508153
numeric__historical_credentials_submitted,0.01666784970295369
categorical__role_Account Executive,0.015892156964176916
numeric__historical_credential_rate,0.015478931823452474
categorical__department_Operations,0.014758264121803668
numeric__privilege_risk_value,0.012622252479646667
categorical__role_Accountant,0.01098342735615856
numeric__historical_targeted_attacks,0.010550828896441997
categorical__department_Executive,0.009991509058874906
categorical__role_Security Analyst,0.009584328969088424
categorical__department_Finance,0.009163263865224477
categorical__role_Legal Assistant,0.008784795206578287
categorical__role_Director,0.005580967646368308
categorical__role_Recruiter,0.0055117550155803175
categorical__department_Information Technology,0.004713456925294014
categorical__role_Operations Manager,0.004438631886469249
numeric__security_training_completed,0.0042027036956557825
categorical__role_Legal Manager,0.0035940525689069276
categorical__privilege_level_Low,0.003496674432104918
categorical__department_Human Resources,0.002882596379804169
categorical__privilege_level_High,0.0027667378586563886
categorical__role_HR Manager,0.001597783793818328
categorical__role_Digital Marketing Analyst,0.0014823484934282142
categorical__role_Sales Manager,0.0011828735325073178
categorical__department_Marketing,0.0011654376322282022
categorical__role_Chief Officer,0.0007656350050790585
numeric__historical_simulations,0.0
categorical__role_Finance Manager,0.0
categorical__department_Sales,0.0
categorical__role_Compliance Analyst,0.0
categorical__role_Operations Specialist,0.0
categorical__role_Marketing Manager,0.0
categorical__role_Marketing Specialist,0.0
categorical__role_Operations Analyst,0.0
categorical__role_Vice President,0.0
categorical__role_System Administrator,0.0
categorical__role_Sales Representative,0.0
categorical__privilege_level_Privileged,0.0
