event_id,employee_id,department,role,privilege_level,security_training_completed,previous_training_score,scenario_id,scenario_name,attack_type,difficulty,target_department,mitre_technique,targeted_department,failure_probability,email_opened,link_clicked,attachment_opened,credentials_submitted,email_reported,response_time_seconds,simulation_failed,remediation_training_assigned
EVT000001,EMP0001,Human Resources,HR Specialist,High,1,85,PHISH001,Microsoft 365 Password Expiration,Credential Phishing,Easy,All,T1566.002,0,0.2459,1,0,0,0,1,261,0,0
EVT000002,EMP0001,Human Resources,HR Specialist,High,1,85,PHISH002,HR Benefits Update,Malicious Attachment Simulation,Medium,All,T1566.001,0,0.3198,1,0,0,0,0,0,0,0
EVT000003,EMP0001,Human Resources,HR Specialist,High,1,85,PHISH003,CEO Urgent Payment Request,Business Email Compromise,Hard,Finance,T1566,0,0.2485,1,0,0,0,1,306,1,1
EVT000004,EMP0001,Human Resources,HR Specialist,High,1,85,PHISH004,Package Delivery Notification,Link Phishing,Easy,All,T1566.002,0,0.1099,1,0,0,0,1,391,0,0
EVT000005,EMP0001,Human Resources,HR Specialist,High,1,85,PHISH005,Shared Cloud Document,Cloud Credential Phishing,Medium,All,T1566.003,0,0.2172,1,0,0,0,1,94,0,0
EVT000006,EMP0001,Human Resources,HR Specialist,High,1,85,PHISH006,Fake MFA Verification Request,Identity Phishing,Hard,Information Technology,T1566.002,0,0.4252,1,1,0,1,1,280,1,1
EVT000007,EMP0001,Human Resources,HR Specialist,High,1,85,PHISH007,Payroll Account Verification,Credential Phishing,Medium,Human Resources,T1566.002,1,0.3007,1,1,0,1,1,390,1,1
EVT000008,EMP0001,Human Resources,HR Specialist,High,1,85,PHISH008,QR Code Security Verification,QR Phishing,Hard,All,T1566.002,0,0.2497,1,0,0,0,0,0,0,0
EVT000009,EMP0001,Human Resources,HR Specialist,High,1,85,PHISH009,Resume Attachment,Malicious Attachment Simulation,Medium,Human Resources,T1566.001,1,0.3463,1,0,1,0,0,0,1,1
EVT000010,EMP0001,Human Resources,HR Specialist,High,1,85,PHISH010,IT Helpdesk Account Verification,Credential Phishing,Hard,All,T1566.002,0,0.2898,1,0,0,0,1,375,0,0
EVT000011,EMP0002,Sales,Sales Representative,Low,1,96,PHISH001,Microsoft 365 Password Expiration,Credential Phishing,Easy,All,T1566.002,0,0.154,1,0,0,0,0,0,0,0
EVT000012,EMP0002,Sales,Sales Representative,Low,1,96,PHISH002,HR Benefits Update,Malicious Attachment Simulation,Medium,All,T1566.001,0,0.0963,1,0,0,0,0,0,0,0
EVT000013,EMP0002,Sales,Sales Representative,Low,1,96,PHISH003,CEO Urgent Payment Request,Business Email Compromise,Hard,Finance,T1566,0,0.1417,0,0,0,0,0,0,1,1
EVT000014,EMP0002,Sales,Sales Representative,Low,1,96,PHISH004,Package Delivery Notification,Link Phishing,Easy,All,T1566.002,0,0.2195,1,0,0,0,1,377,0,0
EVT000015,EMP0002,Sales,Sales Representative,Low,1,96,PHISH005,Shared Cloud Document,Cloud Credential Phishing,Medium,All,T1566.003,0,0.1392,1,0,0,0,1,183,0,0
EVT000016,EMP0002,Sales,Sales Representative,Low,1,96,PHISH006,Fake MFA Verification Request,Identity Phishing,Hard,Information Technology,T1566.002,0,0.1789,1,0,0,0,0,0,0,0
EVT000017,EMP0002,Sales,Sales Representative,Low,1,96,PHISH007,Payroll Account Verification,Credential Phishing,Medium,Human Resources,T1566.002,0,0.1599,1,0,0,0,1,396,0,0
EVT000018,EMP0002,Sales,Sales Representative,Low,1,96,PHISH008,QR Code Security Verification,QR Phishing,Hard,All,T1566.002,0,0.2473,1,0,0,0,1,45,0,0
EVT000019,EMP0002,Sales,Sales Representative,Low,1,96,PHISH009,Resume Attachment,Malicious Attachment Simulation,Medium,Human Resources,T1566.001,0,0.2439,1,0,1,0,1,94,1,1
EVT000020,EMP0002,Sales,Sales Representative,Low,1,96,PHISH010,IT Helpdesk Account Verification,Credential Phishing,Hard,All,T1566.002,0,0.2571,0,0,0,0,1,537,0,0
EVT000021,EMP0003,Human Resources,HR Manager,Medium,1,96,PHISH001,Microsoft 365 Password Expiration,Credential Phishing,Easy,All,T1566.002,0,0.0994,1,0,0,0,0,0,0,0
EVT000022,EMP0003,Human Resources,HR Manager,Medium,1,96,PHISH002,HR Benefits Update,Malicious Attachment Simulation,Medium,All,T1566.001,0,0.1228,1,0,0,0,1,234,0,0
