actual,predicted,failure_probability
1,1,0.7410652369650134
0,1,0.5120293719710697
1,0,0.41651420720135146
0,0,0.36674886218074804
0,0,0.44353509241189376
1,1,0.6712150569817815
1,0,0.4967218169661496
0,0,0.45560536741345176
1,1,0.5453830124680369
1,0,0.33889132940277605
1,0,0.4750583909426957
1,0,0.45016289116438185
0,0,0.4065851497721426
1,1,0.5721059827148461
1,1,0.5151335768676989
0,0,0.42095999237126325
1,1,0.5437030891626509
0,0,0.45211524336083775
1,1,0.5289465174568135
0,1,0.5041004763988917
0,0,0.3895240738705418
1,1,0.6191159181764576
1,0,0.44066798433499826
1,0,0.35230603128035215
0,1,0.6316170136860351
1,0,0.3588374756166627
0,0,0.45549775914553636
0,1,0.7899718752170453
1,1,0.6978036803752744
1,1,0.5027337518950928
1,1,0.5606867707628043
1,1,0.6080633103096872
1,1,0.6573860853780027
1,1,0.5742345913221042
0,0,0.3418445048516986
1,1,0.5157186974336194
0,0,0.45371882519958506
1,0,0.4489028563752618
0,1,0.5938879491617175
1,1,0.6156201585350235
1,0,0.4964614763698294
1,1,0.5567384610855908
0,0,0.45800664054794965
1,1,0.5877095370262394
0,1,0.5509707964849566
1,0,0.47909022001844015
1,0,0.39573216329682176
0,0,0.4951034027476306
1,1,0.6141676852205348
0,1,0.5782855198610145
1,1,0.6993566498230952
0,1,0.5886044593611196
1,1,0.5600218824397168
1,1,0.579393177174888
1,0,0.48764825878968043
0,1,0.5428842040065571
0,1,0.6833338487926945
1,0,0.4551465904464163
1,0,0.4950627523929295
1,1,0.5049741659840492
1,1,0.5219350235975985
0,0,0.4744490957652127
1,1,0.6155863959759855
1,0,0.4734937235100538
1,0,0.3014660513474664
1,0,0.4851451624665152
0,0,0.3356585110011244
1,0,0.39805712137008015
1,1,0.7228460432919463
1,0,0.369109156701519
1,1,0.5242188233950448
1,1,0.6883381093074907
1,0,0.3753684393570695
1,1,0.5005277695330235
0,0,0.47257784031607913
1,0,0.37112568312148725
1,1,0.5836200454989583
1,1,0.7502979393880619
0,1,0.5003613341397761
0,0,0.3602005759008879
0,1,0.6443171359513653
1,0,0.4391408180266492
0,1,0.6647402586605339
1,0,0.49354255021744525
1,0,0.3853596772233649
1,1,0.6649953643909563
0,0,0.4837654960992281
1,1,0.5664854545760505
1,0,0.381394888013888
0,0,0.48141347795216355
0,1,0.5042773955800481
1,1,0.6268876986951546
0,0,0.430136837934513
1,0,0.3871633128808873
1,0,0.39672983898677666
1,1,0.5875847647975959
1,0,0.39805093079474135
1,0,0.4958672084725556
1,0,0.41523418318724226
0,1,0.6598199240269704
