alert_id,alert_created_utc,alert_severity,alert_type,alert_status,assigned_team,employee_id,department,role,privilege_level,risk_score,risk_level,primary_risk_driver,recommended_action,alert_message
ALERT-0027,2026-09-09T20:58:05.808133+00:00,P1 - Critical,Repeated Phishing Failure,Open,Security Operations,EMP0277,Information Technology,System Administrator,Privileged,51.79,Critical,Phishing Failures,"Immediate security review, targeted awareness training, and follow-up phishing simulation","Employee EMP0277 in Information Technology has been classified as Critical human cyber risk with a risk score of 51.79. Primary risk driver: Phishing Failures. Recommended response: Immediate security review, targeted awareness training, and follow-up phishing simulation."
ALERT-0040,2026-09-09T20:58:05.808133+00:00,P1 - Critical,Repeated Phishing Failure,Open,Security Operations,EMP0500,Information Technology,Security Analyst,Privileged,51.47,Critical,Phishing Failures,"Immediate security review, targeted awareness training, and follow-up phishing simulation","Employee EMP0500 in Information Technology has been classified as Critical human cyber risk with a risk score of 51.47. Primary risk driver: Phishing Failures. Recommended response: Immediate security review, targeted awareness training, and follow-up phishing simulation."
ALERT-0033,2026-09-09T20:58:05.808133+00:00,P1 - Critical,Repeated Phishing Failure,Open,Security Operations,EMP0410,Human Resources,Recruiter,High,50.7,Critical,Phishing Failures,"Immediate security review, targeted awareness training, and follow-up phishing simulation","Employee EMP0410 in Human Resources has been classified as Critical human cyber risk with a risk score of 50.70. Primary risk driver: Phishing Failures. Recommended response: Immediate security review, targeted awareness training, and follow-up phishing simulation."
ALERT-0015,2026-09-09T20:58:05.808133+00:00,P2 - High,Repeated Phishing Failure,Open,Security Operations,EMP0133,Finance,Financial Analyst,High,49.65,High,Phishing Failures,Assign targeted phishing awareness training and reassess within 30 days,Employee EMP0133 in Finance has been classified as High human cyber risk with a risk score of 49.65. Primary risk driver: Phishing Failures. Recommended response: Assign targeted phishing awareness training and reassess within 30 days.
ALERT-0038,2026-09-09T20:58:05.808133+00:00,P2 - High,Repeated Phishing Failure,Open,Security Operations,EMP0465,Information Technology,Security Analyst,High,47.96,High,Phishing Failures,Assign targeted phishing awareness training and reassess within 30 days,Employee EMP0465 in Information Technology has been classified as High human cyber risk with a risk score of 47.96. Primary risk driver: Phishing Failures. Recommended response: Assign targeted phishing awareness training and reassess within 30 days.
ALERT-0032,2026-09-09T20:58:05.808133+00:00,P2 - High,Repeated Phishing Failure,Open,Security Operations,EMP0381,Human Resources,HR Manager,Medium,47.3,High,Phishing Failures,Assign targeted phishing awareness training and reassess within 30 days,Employee EMP0381 in Human Resources has been classified as High human cyber risk with a risk score of 47.30. Primary risk driver: Phishing Failures. Recommended response: Assign targeted phishing awareness training and reassess within 30 days.
ALERT-0002,2026-09-09T20:58:05.808133+00:00,P2 - High,Repeated Phishing Failure,Open,Security Operations,EMP0012,Human Resources,Recruiter,High,47.12,High,Phishing Failures,Assign targeted phishing awareness training and reassess within 30 days,Employee EMP0012 in Human Resources has been classified as High human cyber risk with a risk score of 47.12. Primary risk driver: Phishing Failures. Recommended response: Assign targeted phishing awareness training and reassess within 30 days.
ALERT-0022,2026-09-09T20:58:05.808133+00:00,P2 - High,Repeated Phishing Failure,Open,Security Operations,EMP0212,Finance,Accountant,High,45.65,High,Phishing Failures,Assign targeted phishing awareness training and reassess within 30 days,Employee EMP0212 in Finance has been classified as High human cyber risk with a risk score of 45.65. Primary risk driver: Phishing Failures. Recommended response: Assign targeted phishing awareness training and reassess within 30 days.
ALERT-0016,2026-09-09T20:58:05.808133+00:00,P2 - High,Repeated Phishing Failure,Open,Security Operations,EMP0153,Information Technology,Security Analyst,Medium,43.82,High,Phishing Failures,Assign targeted phishing awareness training and reassess within 30 days,Employee EMP0153 in Information Technology has been classified as High human cyber risk with a risk score of 43.82. Primary risk driver: Phishing Failures. Recommended response: Assign targeted phishing awareness training and reassess within 30 days.
ALERT-0023,2026-09-09T20:58:05.808133+00:00,P2 - High,Repeated Phishing Failure,Open,Security Operations,EMP0231,Executive,Chief Officer,Privileged,43.47,High,Phishing Failures,Assign targeted phishing awareness training and reassess within 30 days,Employee EMP0231 in Executive has been classified as High human cyber risk with a risk score of 43.47. Primary risk driver: Phishing Failures. Recommended response: Assign targeted phishing awareness training and reassess within 30 days.
ALERT-0005,2026-09-09T20:58:05.808133+00:00,P2 - High,Repeated Phishing Failure,Open,Security Operations,EMP0071,Human Resources,HR Specialist,High,43.33,High,Phishing Failures,Assign targeted phishing awareness training and reassess within 30 days,Employee EMP0071 in Human Resources has been classified as High human cyber risk with a risk score of 43.33. Primary risk driver: Phishing Failures. Recommended response: Assign targeted phishing awareness training and reassess within 30 days.
ALERT-0024,2026-09-09T20:58:05.808133+00:00,P2 - High,Repeated Phishing Failure,Open,Security Operations,EMP0250,Information Technology,IT Support Analyst,Privileged,41.79,High,Phishing Failures,Assign targeted phishing awareness training and reassess within 30 days,Employee EMP0250 in Information Technology has been classified as High human cyber risk with a risk score of 41.79. Primary risk driver: Phishing Failures. Recommended response: Assign targeted phishing awareness training and reassess within 30 days.
ALERT-0039,2026-09-09T20:58:05.808133+00:00,P2 - High,Repeated Phishing Failure,Open,Security Operations,EMP0479,Human Resources,Recruiter,Medium,41.51,High,Phishing Failures,Assign targeted phishing awareness training and reassess within 30 days,Employee EMP0479 in Human Resources has been classified as High human cyber risk with a risk score of 41.51. Primary risk driver: Phishing Failures. Recommended response: Assign targeted phishing awareness training and reassess within 30 days.
ALERT-0009,2026-09-09T20:58:05.808133+00:00,P2 - High,Repeated Phishing Failure,Open,Security Operations,EMP0092,Finance,Finance Manager,Medium,41.4,High,Phishing Failures,Assign targeted phishing awareness training and reassess within 30 days,Employee EMP0092 in Finance has been classified as High human cyber risk with a risk score of 41.40. Primary risk driver: Phishing Failures. Recommended response: Assign targeted phishing awareness training and reassess within 30 days.
ALERT-0006,2026-09-09T20:58:05.808133+00:00,P2 - High,Repeated Phishing Failure,Open,Security Operations,EMP0086,Legal,Legal Assistant,Medium,40.88,High,Phishing Failures,Assign targeted phishing awareness training and reassess within 30 days,Employee EMP0086 in Legal has been classified as High human cyber risk with a risk score of 40.88. Primary risk driver: Phishing Failures. Recommended response: Assign targeted phishing awareness training and reassess within 30 days.
ALERT-0026,2026-09-09T20:58:05.808133+00:00,P2 - High,Repeated Phishing Failure,Open,Security Operations,EMP0266,Information Technology,System Administrator,Medium,39.51,High,Phishing Failures,Assign targeted phishing awareness training and reassess within 30 days,Employee EMP0266 in Information Technology has been classified as High human cyber risk with a risk score of 39.51. Primary risk driver: Phishing Failures. Recommended response: Assign targeted phishing awareness training and reassess within 30 days.
ALERT-0037,2026-09-09T20:58:05.808133+00:00,P2 - High,Repeated Phishing Failure,Open,Security Operations,EMP0450,Human Resources,Recruiter,High,39.23,High,Phishing Failures,Assign targeted phishing awareness training and reassess within 30 days,Employee EMP0450 in Human Resources has been classified as High human cyber risk with a risk score of 39.23. Primary risk driver: Phishing Failures. Recommended response: Assign targeted phishing awareness training and reassess within 30 days.
ALERT-0014,2026-09-09T20:58:05.808133+00:00,P2 - High,Repeated Phishing Failure,Open,Security Operations,EMP0131,Human Resources,Recruiter,High,39.12,High,Phishing Failures,Assign targeted phishing awareness training and reassess within 30 days,Employee EMP0131 in Human Resources has been classified as High human cyber risk with a risk score of 39.12. Primary risk driver: Phishing Failures. Recommended response: Assign targeted phishing awareness training and reassess within 30 days.
ALERT-0035,2026-09-09T20:58:05.808133+00:00,P2 - High,Repeated Phishing Failure,Open,Security Operations,EMP0421,Sales,Sales Representative,Medium,39.09,High,Phishing Failures,Assign targeted phishing awareness training and reassess within 30 days,Employee EMP0421 in Sales has been classified as High human cyber risk with a risk score of 39.09. Primary risk driver: Phishing Failures. Recommended response: Assign targeted phishing awareness training and reassess within 30 days.
ALERT-0036,2026-09-09T20:58:05.808133+00:00,P2 - High,Repeated Phishing Failure,Open,Security Operations,EMP0427,Information Technology,IT Support Analyst,Privileged,39.05,High,Phishing Failures,Assign targeted phishing awareness training and reassess within 30 days,Employee EMP0427 in Information Technology has been classified as High human cyber risk with a risk score of 39.05. Primary risk driver: Phishing Failures. Recommended response: Assign targeted phishing awareness training and reassess within 30 days.
ALERT-0004,2026-09-09T20:58:05.808133+00:00,P2 - High,Targeted Phishing Risk,Open,Security Operations,EMP0053,Information Technology,Security Analyst,High,38.81,High,Targeted Attack Failures,Assign targeted phishing awareness training and reassess within 30 days,Employee EMP0053 in Information Technology has been classified as High human cyber risk with a risk score of 38.81. Primary risk driver: Targeted Attack Failures. Recommended response: Assign targeted phishing awareness training and reassess within 30 days.
ALERT-0019,2026-09-09T20:58:05.808133+00:00,P2 - High,Repeated Phishing Failure,Open,Security Operations,EMP0197,Human Resources,HR Manager,Medium,38.25,High,Phishing Failures,Assign targeted phishing awareness training and reassess within 30 days,Employee EMP0197 in Human Resources has been classified as High human cyber risk with a risk score of 38.25. Primary risk driver: Phishing Failures. Recommended response: Assign targeted phishing awareness training and reassess within 30 days.
