actual,predicted,failure_probability
1,1,0.8385926346651423
1,1,0.9472482627024824
1,1,0.6540795656293552
0,1,0.872198209268965
0,1,0.8068555602970209
1,1,0.501401963016917
0,1,0.8777343987907481
1,1,0.5580354394797107
1,1,0.8587414407811933
1,1,0.636574850417886
1,1,0.9258456691856591
1,1,0.5622850920756172
0,1,0.5566096835915041
0,1,0.7199146357426989
1,1,0.5736566672439574
0,1,0.6472504602684453
1,1,0.9272789310765603
0,1,0.6757764297877086
1,0,0.48774114303087807
0,1,0.7073328559076569
0,1,0.6680706130522696
1,1,0.905584120692745
1,1,0.8355469639608006
1,1,0.5921875306597668
1,1,0.5478249065022299
0,1,0.7475898021442847
1,1,0.9170288789217386
0,1,0.6387640647079276
0,1,0.767422666273791
1,1,0.7328269002650653
1,1,0.5734540738721767
1,1,0.5741714293734143
1,1,0.682543819501682
1,0,0.2662610508577924
1,1,0.865670618959376
1,1,0.667250606474679
0,1,0.5402449099388653
1,1,0.6003380238371424
0,1,0.6903108410415875
1,1,0.5284546636861315
0,1,0.8246915610198875
1,1,0.9334341997271431
1,1,0.648633112815948
1,1,0.6550910343094051
1,1,0.9126801860740584
0,1,0.6147466027194202
1,1,0.7295391340271439
0,1,0.6687895956096456
1,0,0.2138578746490744
1,1,0.5999475119303057
0,1,0.6012995485051587
1,1,0.6142889388027656
0,1,0.7902451248606637
1,1,0.607255583490741
0,1,0.761304443268865
1,0,0.14315122983322545
1,1,0.8176712648535961
1,1,0.8191128061330964
0,1,0.5668011146950374
0,1,0.5429491370255811
1,0,0.4345867599421632
1,0,0.11827002995622665
1,0,0.34319311680677866
1,0,0.47011703829987067
0,1,0.8429134362377977
1,1,0.5371206355878694
1,1,0.6306829686620543
1,1,0.5878730124069438
0,1,0.8126291137679719
0,1,0.6393340854091542
1,1,0.5261847044839675
1,1,0.5548007023040138
1,1,0.7208485454786459
1,1,0.7600073986432295
1,1,0.7854792463393293
1,0,0.42880144458243025
1,1,0.8026915382985038
1,1,0.5041080446674387
0,1,0.8863686246442671
1,1,0.8123488567135884
1,1,0.7400367548672699
1,1,0.7072042709453531
0,1,0.619995351876869
0,1,0.7090528131675854
0,1,0.7165212554450315
1,1,0.5144500531911724
0,1,0.7725074555823934
1,1,0.849001196912094
1,1,0.6176446816662288
1,1,0.7374663776851688
0,1,0.6545984910228446
1,1,0.5452006492811076
1,1,0.890519585906671
0,1,0.8977615200326596
0,0,0.3419122310197044
1,1,0.8617304466253851
0,1,0.886963602315806
1,1,0.8447849284036293
1,1,0.7695850672797969
1,1,0.6918773378875124
