employee_id,department,role,privilege_level,security_training_completed,previous_training_score,total_simulations,emails_opened,links_clicked,attachments_opened,credentials_submitted,phishing_emails_reported,simulations_failed,remediation_trainings,targeted_scenarios,average_failure_probability,average_reporting_time_seconds,targeted_attack_failure_rate,email_open_rate,click_rate,attachment_open_rate,credential_submission_rate,reporting_rate,failure_rate,remediation_rate,non_failure_rate,report_to_failure_ratio,privilege_risk_value,training_risk,reporting_quality
EMP0001,Human Resources,HR Specialist,High,1,85,10,10,2,1,2,7,4,4,2,0.2825,299.5714,1.0,1.0,0.2,0.1,0.2,0.7,0.4,0.4,0.6,1.75,3,0.15,0.7
EMP0002,Sales,Sales Representative,Low,1,96,10,8,0,1,0,6,2,2,0,0.2074,272.0,0.0,0.8,0.0,0.1,0.0,0.6,0.2,0.2,0.8,3.0,1,0.04,0.6
EMP0003,Human Resources,HR Manager,Medium,1,96,10,8,1,1,1,4,2,2,2,0.2188,174.0,0.5,0.8,0.1,0.1,0.1,0.4,0.2,0.2,0.8,2.0,2,0.04,0.4
EMP0004,Marketing,Marketing Specialist,Low,1,87,10,8,2,0,1,3,4,4,0,0.2911,301.0,0.0,0.8,0.2,0.0,0.1,0.3,0.4,0.4,0.6,0.75,1,0.13,0.3
EMP0005,Human Resources,HR Specialist,Medium,1,72,10,6,1,0,0,3,3,3,2,0.2703,344.0,0.5,0.6,0.1,0.0,0.0,0.3,0.3,0.3,0.7,1.0,2,0.28,0.3
EMP0006,Finance,Finance Manager,Medium,1,72,10,9,1,1,0,4,2,2,1,0.247,309.0,0.0,0.9,0.1,0.1,0.0,0.4,0.2,0.2,0.8,2.0,2,0.28,0.4
EMP0007,Marketing,Marketing Specialist,Medium,1,65,10,9,3,0,3,5,4,4,0,0.3806,199.2,0.0,0.9,0.3,0.0,0.3,0.5,0.4,0.4,0.6,1.25,2,0.35,0.5
EMP0008,Operations,Operations Analyst,Low,1,81,10,8,3,0,2,5,3,3,0,0.2874,305.0,0.0,0.8,0.3,0.0,0.2,0.5,0.3,0.3,0.7,1.6667,1,0.19,0.5
EMP0009,Marketing,Digital Marketing Analyst,Medium,1,78,10,7,3,0,1,5,4,4,0,0.2416,314.8,0.0,0.7,0.3,0.0,0.1,0.5,0.4,0.4,0.6,1.25,2,0.22,0.5
EMP0010,Information Technology,IT Support Analyst,High,0,60,10,8,2,1,1,3,4,4,1,0.5003,348.3333,0.0,0.8,0.2,0.1,0.1,0.3,0.4,0.4,0.6,0.75,3,0.4,0.15
EMP0011,Human Resources,HR Specialist,High,1,70,10,4,0,0,0,4,1,1,2,0.2518,336.75,0.5,0.4,0.0,0.0,0.0,0.4,0.1,0.1,0.9,3.0,3,0.3,0.4
EMP0012,Human Resources,Recruiter,High,1,74,10,8,4,1,2,5,6,6,2,0.3648,272.4,1.0,0.8,0.4,0.1,0.2,0.5,0.6,0.6,0.4,0.8333,3,0.26,0.5
EMP0013,Operations,Operations Analyst,Medium,1,87,10,9,0,0,0,10,0,0,0,0.189,336.0,0.0,0.9,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,2,0.13,1.0
EMP0014,Human Resources,Recruiter,Medium,1,63,10,8,2,0,2,6,4,4,2,0.2725,366.6667,0.5,0.8,0.2,0.0,0.2,0.6,0.4,0.4,0.6,1.5,2,0.37,0.6
EMP0015,Operations,Operations Manager,Medium,1,86,10,6,0,1,0,6,2,2,0,0.277,407.1667,0.0,0.6,0.0,0.1,0.0,0.6,0.2,0.2,0.8,3.0,2,0.14,0.6
EMP0016,Sales,Sales Manager,Low,1,80,10,9,1,0,1,6,2,2,0,0.3161,265.8333,0.0,0.9,0.1,0.0,0.1,0.6,0.2,0.2,0.8,3.0,1,0.2,0.6
EMP0017,Finance,Finance Manager,Medium,1,60,10,9,3,1,3,5,4,4,1,0.3425,205.0,0.0,0.9,0.3,0.1,0.3,0.5,0.4,0.4,0.6,1.25,2,0.4,0.5
