employee_id,department,role,privilege_level,risk_score,risk_level,primary_risk_driver,training_module,training_topic,training_duration_minutes,training_priority,completion_deadline_days,follow_up_simulation_days,escalation_requirement
EMP0001,Human Resources,HR Specialist,High,35.44,High,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,High,7,30,Manager Notification
EMP0002,Sales,Sales Representative,Low,3.58,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0003,Human Resources,HR Manager,Medium,17.09,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0004,Marketing,Marketing Specialist,Low,17.68,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0005,Human Resources,HR Specialist,Medium,21.19,Moderate,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Standard,30,60,Monitor
EMP0006,Finance,Finance Manager,Medium,12.25,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0007,Marketing,Marketing Specialist,Medium,28.25,Moderate,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Standard,30,60,Monitor
EMP0008,Operations,Operations Analyst,Low,17.79,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0009,Marketing,Digital Marketing Analyst,Medium,22.67,Moderate,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Standard,30,60,Monitor
EMP0010,Information Technology,IT Support Analyst,High,27.54,Moderate,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Standard,30,60,Monitor
EMP0011,Human Resources,HR Specialist,High,16.49,Low,Privilege Exposure,Privileged Account Security Awareness,"Administrative accounts, least privilege, credential protection",40,Routine,90,90,None
EMP0012,Human Resources,Recruiter,High,47.12,High,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,High,7,30,Manager Notification
EMP0013,Operations,Operations Analyst,Medium,0.0,Low,Privilege Exposure,Privileged Account Security Awareness,"Administrative accounts, least privilege, credential protection",40,Routine,90,90,None
EMP0014,Human Resources,Recruiter,Medium,29.51,Moderate,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Standard,30,60,Monitor
EMP0015,Operations,Operations Manager,Medium,8.14,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
EMP0016,Sales,Sales Manager,Low,8.95,Low,Phishing Failures,Advanced Phishing Recognition,"Phishing indicators, impersonation, urgency, spoofing",30,Routine,90,90,None
