employee_id,department,role,privilege_level,security_training_completed,previous_training_score,historical_simulations,historical_failures,historical_clicks,historical_attachments_opened,historical_credentials_submitted,historical_reports,historical_targeted_attacks,average_historical_failure_probability,historical_failure_rate,historical_click_rate,historical_attachment_rate,historical_credential_rate,historical_reporting_rate,future_failures,future_phishing_failure,privilege_risk_value,training_risk
EMP0001,Human Resources,HR Specialist,High,1,85,7,3,2,0,2,6,1,0.2667,0.4286,0.2857,0.0,0.2857,0.8571,1,1,3,0.15
EMP0002,Sales,Sales Representative,Low,1,96,7,1,0,0,0,3,0,0.1556,0.1429,0.0,0.0,0.0,0.4286,1,1,1,0.04
EMP0003,Human Resources,HR Manager,Medium,1,96,7,0,0,0,0,3,1,0.1668,0.0,0.0,0.0,0.0,0.4286,2,1,2,0.04
EMP0004,Marketing,Marketing Specialist,Low,1,87,7,3,1,0,1,2,0,0.2591,0.4286,0.1429,0.0,0.1429,0.2857,1,1,1,0.13
EMP0005,Human Resources,HR Specialist,Medium,1,72,7,1,0,0,0,2,1,0.2531,0.1429,0.0,0.0,0.0,0.2857,2,1,2,0.28
EMP0006,Finance,Finance Manager,Medium,1,72,7,0,0,0,0,3,1,0.2287,0.0,0.0,0.0,0.0,0.4286,2,1,2,0.28
EMP0007,Marketing,Marketing Specialist,Medium,1,65,7,4,3,0,3,4,0,0.3988,0.5714,0.4286,0.0,0.4286,0.5714,0,0,2,0.35
EMP0008,Operations,Operations Analyst,Low,1,81,7,3,3,0,2,4,0,0.2797,0.4286,0.4286,0.0,0.2857,0.5714,0,0,1,0.19
EMP0009,Marketing,Digital Marketing Analyst,Medium,1,78,7,2,2,0,1,4,0,0.2366,0.2857,0.2857,0.0,0.1429,0.5714,1,1,2,0.22
EMP0010,Information Technology,IT Support Analyst,High,0,60,7,3,1,1,1,2,1,0.5523,0.4286,0.1429,0.1429,0.1429,0.2857,1,1,3,0.4
EMP0011,Human Resources,HR Specialist,High,1,70,7,1,0,0,0,4,1,0.2435,0.1429,0.0,0.0,0.0,0.5714,0,0,3,0.3
EMP0012,Human Resources,Recruiter,High,1,74,7,4,2,0,1,4,1,0.3909,0.5714,0.2857,0.0,0.1429,0.5714,3,1,3,0.26
EMP0013,Operations,Operations Analyst,Medium,1,87,7,0,0,0,0,7,0,0.1539,0.0,0.0,0.0,0.0,1.0,0,0,2,0.13
