employee_id,department,role,privilege_level,security_training_completed,previous_training_score,total_simulations,emails_opened,links_clicked,attachments_opened,credentials_submitted,phishing_emails_reported,simulations_failed,remediation_trainings,targeted_scenarios,average_failure_probability,average_reporting_time_seconds,targeted_attack_failure_rate,email_open_rate,click_rate,attachment_open_rate,credential_submission_rate,reporting_rate,failure_rate,remediation_rate,non_failure_rate,report_to_failure_ratio,privilege_risk_value,training_risk,reporting_quality,privilege_risk_normalized,failure_risk_component,credential_risk_component,click_risk_component,training_risk_component,targeted_risk_component,privilege_risk_component,reporting_reduction,raw_risk_score,risk_score,risk_level,recommended_action,primary_risk_driver
EMP0001,Human Resources,HR Specialist,High,1,85,10,10,2,1,2,7,4,4,2,0.2825,299.5714,1.0,1.0,0.2,0.1,0.2,0.7,0.4,0.4,0.6,1.75,3,0.15,0.7,0.6666666666666666,12.0,4.0,3.0,1.5,10.0,6.666666666666666,3.5,33.666666666666664,35.44,High,Assign targeted phishing awareness training and reassess within 30 days,Phishing Failures
EMP0002,Sales,Sales Representative,Low,1,96,10,8,0,1,0,6,2,2,0,0.2074,272.0,0.0,0.8,0.0,0.1,0.0,0.6,0.2,0.2,0.8,3.0,1,0.04,0.6,0.0,6.0,0.0,0.0,0.4,0.0,0.0,3.0,3.4000000000000004,3.58,Low,Maintain standard awareness training and periodic phishing simulation,Phishing Failures
EMP0003,Human Resources,HR Manager,Medium,1,96,10,8,1,1,1,4,2,2,2,0.2188,174.0,0.5,0.8,0.1,0.1,0.1,0.4,0.2,0.2,0.8,2.0,2,0.04,0.4,0.3333333333333333,6.0,2.0,1.5,0.4,5.0,3.333333333333333,2.0,16.233333333333334,17.09,Low,Maintain standard awareness training and periodic phishing simulation,Phishing Failures
EMP0004,Marketing,Marketing Specialist,Low,1,87,10,8,2,0,1,3,4,4,0,0.2911,301.0,0.0,0.8,0.2,0.0,0.1,0.3,0.4,0.4,0.6,0.75,1,0.13,0.3,0.0,12.0,2.0,3.0,1.3,0.0,0.0,1.5,16.8,17.68,Low,Maintain standard awareness training and periodic phishing simulation,Phishing Failures
EMP0005,Human Resources,HR Specialist,Medium,1,72,10,6,1,0,0,3,3,3,2,0.2703,344.0,0.5,0.6,0.1,0.0,0.0,0.3,0.3,0.3,0.7,1.0,2,0.28,0.3,0.3333333333333333,9.0,0.0,1.5,2.8000000000000003,5.0,3.333333333333333,1.5,20.133333333333333,21.19,Moderate,Provide refresher awareness training and continue behavioral monitoring,Phishing Failures
EMP0006,Finance,Finance Manager,Medium,1,72,10,9,1,1,0,4,2,2,1,0.247,309.0,0.0,0.9,0.1,0.1,0.0,0.4,0.2,0.2,0.8,2.0,2,0.28,0.4,0.3333333333333333,6.0,0.0,1.5,2.8000000000000003,0.0,3.333333333333333,2.0,11.633333333333333,12.25,Low,Maintain standard awareness training and periodic phishing simulation,Phishing Failures
EMP0007,Marketing,Marketing Specialist,Medium,1,65,10,9,3,0,3,5,4,4,0,0.3806,199.2,0.0,0.9,0.3,0.0,0.3,0.5,0.4,0.4,0.6,1.25,2,0.35,0.5,0.3333333333333333,12.0,6.0,4.5,3.5,0.0,3.333333333333333,2.5,26.833333333333332,28.25,Moderate,Provide refresher awareness training and continue behavioral monitoring,Phishing Failures
EMP0008,Operations,Operations Analyst,Low,1,81,10,8,3,0,2,5,3,3,0,0.2874,305.0,0.0,0.8,0.3,0.0,0.2,0.5,0.3,0.3,0.7,1.6667,1,0.19,0.5,0.0,9.0,4.0,4.5,1.9,0.0,0.0,2.5,16.9,17.79,Low,Maintain standard awareness training and periodic phishing simulation,Phishing Failures
EMP0009,Marketing,Digital Marketing Analyst,Medium,1,78,10,7,3,0,1,5,4,4,0,0.2416,314.8,0.0,0.7,0.3,0.0,0.1,0.5,0.4,0.4,0.6,1.25,2,0.22,0.5,0.3333333333333333,12.0,2.0,4.5,2.2,0.0,3.333333333333333,2.5,21.53333333333333,22.67,Moderate,Provide refresher awareness training and continue behavioral monitoring,Phishing Failures
EMP0010,Information Technology,IT Support Analyst,High,0,60,10,8,2,1,1,3,4,4,1,0.5003,348.3333,0.0,0.8,0.2,0.1,0.1,0.3,0.4,0.4,0.6,0.75,3,0.4,0.15,0.6666666666666666,12.0,2.0,3.0,4.0,0.0,6.666666666666666,1.5,26.166666666666664,27.54,Moderate,Provide refresher awareness training and continue behavioral monitoring,Phishing Failures
EMP0011,Human Resources,HR Specialist,High,1,70,10,4,0,0,0,4,1,1,2,0.2518,336.75,0.5,0.4,0.0,0.0,0.0,0.4,0.1,0.1,0.9,3.0,3,0.3,0.4,0.6666666666666666,3.0,0.0,0.0,3.0,5.0,6.666666666666666,2.0,15.666666666666664,16.49,Low,Maintain standard awareness training and periodic phishing simulation,Privilege Exposure
EMP0012,Human Resources,Recruiter,High,1,74,10,8,4,1,2,5,6,6,2,0.3648,272.4,1.0,0.8,0.4,0.1,0.2,0.5,0.6,0.6,0.4,0.8333,3,0.26,0.5,0.6666666666666666,18.0,4.0,6.0,2.6,10.0,6.666666666666666,2.5,44.766666666666666,47.12,High,Assign targeted phishing awareness training and reassess within 30 days,Phishing Failures
